id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Proto
31512469,Belle Epoque pearle 95 m² in Middelheim district,107010389,An,M,Nieuw - Kwartier West,51.18718,4.42125,Entire home/apt,49,2,1,2019-01-27,0.03,2,80,0,M,Haha
31561396,Ekeren rustige ruime kamer met badkamer,136779373,Katrien,M,Leugenberg,51.30268,4.41292,Private room,38,2,33,2021-12-19,0.94,1,82,11,M,Haha
31681385,Cosy apartment in trendy neighbourhood,92144692,Michaël,M,Haringrode,51.20134,4.41936,Entire home/apt,75,2,10,2021-07-16,0.28,1,262,1,M,Haha
31682997,Renovated 70s apartment,20209830,Flora,M,Stuivenberg,51.22501,4.43094,Entire home/apt,45,3,44,2021-12-09,1.24,1,55,3,M,Haha
31730627,Rooftop studio with terrace,238020797,Samantha,M,Hoboken - Noord,51.1836,4.36733,Entire home/apt,55,7,6,2021-06-19,0.17,1,209,2,M,Haha
31811997,Hidden cosy house in alley in central Antwerp,7243886,Hanne,M,Amandus - Atheneum,51.21767,4.42804,Entire home/apt,100,2,9,2021-08-12,0.26,1,5,3,M,Haha
31847853,Spacious house next to the zoo,144639881,Andre,M,Centraal Station,51.21576,4.42648,Entire home/apt,190,2,9,2021-11-28,0.3,1,329,3,M,Haha
31868869,Antwerpen kamer  met grandioos uitzicht,63270116,Anne Marie,M,Linkeroever,51.23468,4.38285,Private room,40,1,127,2021-12-12,3.76,1,352,41,M,Haha
31876188,Apartment near to the Stadspark and the Center,8136924,Roger,M,Stadspark,51.20823,4.41027,Private room,39,1,27,2020-03-15,0.78,4,83,0,M,Haha
31892202,"Spacious, well-located apartment for longer stays",37735473,Sander,M,Harmonie,51.20144,4.40963,Entire home/apt,90,6,3,2021-02-28,0.19,1,205,2,M,Haha
31899599,Complete apartment located near at the city park,8136924,Roger,M,Stadspark,51.20567,4.41058,Entire home/apt,55,3,1,2019-01-30,0.03,4,359,0,M,Haha
31926299,House with 4 bedrooms & garden @ hip Antwerp South,18100026,Daniel,M,Zuid,51.21048,4.39916,Entire home/apt,291,2,34,2021-08-29,1.14,1,0,2,M,Haha
31949372,An apartment in the heart of Antwerp,46342839,Mari,M,Brederode,51.20713,4.4028,Entire home/apt,39,2,47,2021-10-27,1.35,2,341,5,M,Haha
32009201,Apartment / room near the city park shared kitchen,8136924,Roger,M,Stadspark,51.2069,4.41165,Private room,45,1,1,2019-06-23,0.03,4,83,0,M,Haha
32040640,Lichtrijk appartement bij Spoor Noord en Eilandje,43160484,Sigrid,M,Amandus - Atheneum,51.22812,4.41809,Entire home/apt,61,2,9,2021-12-06,0.5,1,61,2,M,Haha
32106943,Cozy studio in the center of Antwerp,240861587,Mario,M,Haringrode,51.20762,4.42097,Entire home/apt,100,1,0,M,M,1,0,0,M,Haha
32106995,Luxe Appartement 2slpkamer.2badkamers.,110603527,Tony,M,Deurne Zuid West,51.20378,4.4638,Entire home/apt,95,7,0,M,M,1,179,0,M,Haha
32108140,"Private room in a historic house, city centre!",7034290,Kwinten,M,Historisch Centrum,51.22352,4.40406,Private room,31,2,26,2021-12-12,0.75,4,325,5,M,Haha
32135224,"The House on Kleine Goddaard, great 4 large groups",51924769,Erik,M,Historisch Centrum,51.22405,4.40347,Entire home/apt,325,1,13,2020-01-01,0.38,6,0,0,M,Haha
32166521,It’s amazing place for relaxation,211647104,Jamal,M,Stuivenberg,51.22572,4.4392,Private room,30,1,7,2019-10-25,0.2,1,0,0,M,Haha
